Customer ID,Age,Gender,Marital Status,Annual Income,Region,Policy ID,Policy Type,Policy Term,Premium Amount,Coverage Amount,Previous Claims Count,Policy Age,Claim ID,Claim Date,Claim Amount,Claim Type,Report Delay,Claim Status,High-Value Claim,Multiple Claims Indicator,Suspicious Region,Inconsistent Information,Third-Party Involvement,Fraudulent
703b5533-5df8-4380-8d59-9943802720e9,72.0,Male,Single,131623.0,Shawnstad,c957dcdc-0068-46b7-bfc6-c36dabd8dd4c,Home,7,3244.3028656831953,189334,3,22,755f2e6b-f0d3-47e7-a164-8a6bca5260f7,2020-07-22,88915.46864524712,Accident,87,Rejected,0,0,1,0,1,1
9b800633-0edf-414f-9a7c-3cb92e3d7512,,Female,Married,479660.0,Port Emilyfurt,9809971d-1438-485e-a529-af5060a9b85b,Home,2,595.451597297703,721620,6,19,cd13ca35-64da-4b70-ba07-fdc2e13de002,2024-07-06,27372.563555389905,Accident,356,Rejected,0,1,1,0,0,1
ecf64be1-d0b8-4428-b1cc-2e424ff4b257,62.0,Male,Single,72986.0,New Brettport,7629dbbf-d97b-4578-bc13-60bcb0cef231,Home,29,,971677,0,19,435bda51-20e4-4efa-ab87-d018ec0fa22d,2022-10-31,65266.99629383732,Accident,23,Pending,0,1,0,1,0,1
b8838100-0d43-4020-9c23-adc8c8a42531,,Male,Divorced,149664.0,North Amy,5e01272b-a251-406b-a0d3-5b985ca4c3f3,Auto,22,3064.3914113714895,694739,3,29,c960559f-2bee-4614-b1ca-be227c9e5f23,2023-04-02,25242.425514509865,Accident,260,Pending,0,0,1,1,1,1
761c4050-8571-4e7b-9f51-fa7f7b8cc6f8,48.0,Female,Married,103993.0,South Juanberg,a4fe7de4-720f-4206-9a24-d225e43cf071,Home,30,557.8217303205739,746377,8,17,61cb0f0e-5e2e-4b43-8130-732dd82a5620,2021-03-03,30088.116235211568,Accident,288,Approved,1,0,1,0,1,0
88dd02cf-4bdc-49bb-9c7c-1317284f25f9,69.0,Female,Divorced,149141.0,East Richard,d9b1bb01-7abe-4262-b810-4c15cc0fe4f8,Home,3,3117.4068560722085,928473,3,9,53211bd1-4004-4832-aff4-c6aeb2767542,2021-11-13,12045.132053821175,Accident,117,Pending,0,0,0,1,0,1
6b10edd0-d558-40f0-a1df-cd3c3358fa84,67.0,Male,Divorced,124931.0,Hooverside,eaa98ac6-d894-42ea-8e3b-bafcf8e2013d,Home,23,1714.963491238106,845074,4,20,e72a8247-a97f-4d8a-995d-c2f34061637c,2023-03-12,34852.161278133564,Theft,361,Approved,0,0,1,1,0,1
784e497b-d6e0-4104-a515-40a156851c0d,26.0,Female,Married,189207.0,Johnsontown,ea924d11-df3a-4cf8-be8a-148112f96155,Home,21,4330.19811497899,79149,5,0,d44dc341-0fbf-49ea-8df2-bc89c8ea1530,2021-07-05,901690.6093551207,Accident,112,Rejected,1,0,0,1,0,0
1aeac377-3dbc-42da-a648-8d6ace7e2f4a,23.0,Male,Married,135276.0,Port Jamie,b72253f7-32b1-4270-95ba-35f2866df198,Home,19,1327.6572110427473,306128,2,13,0f7afa11-65ae-4a04-9ce2-ab4defe7d5a7,2020-07-14,72420.87971847324,Theft,177,Approved,0,1,1,1,1,1
166f0f8d-828f-478b-a84e-86b60993d51f,32.0,Male,Divorced,180845.0,Millertown,89788af7-85ab-4b88-9e44-6811e9494689,Health,9,4082.3150022583914,302096,7,12,8badf362-af5a-4c04-8857-132c8784dd64,2021-02-25,83089.89262210473,Medical,248,Rejected,1,1,0,1,1,0
7c3ef6bc-d385-44c4-9d7c-9e485499d2b9,,Female,Married,168258.0,Tylerstad,0f197139-7d01-4ef7-a2a8-5728fb6082d4,Home,18,4047.2640464001706,798184,7,17,4da2a920-7664-4971-b8db-cf57297922d9,2023-01-17,89116.54759348574,Accident,68,Rejected,1,1,0,0,1,0
df5f05fe-0e87-4104-aa73-970b3428d3a6,31.0,Male,Divorced,149729.0,Arnoldchester,732e8905-4cc8-4d44-b5f7-0f3f644c76e3,Health,1,2394.8387010202946,828585,3,26,1d357cbc-7e9c-4e30-9bcb-4167687163e0,2024-03-01,5837.112566382268,Accident,7,Pending,1,0,1,0,1,1
ed7c2cd5-7e05-4bad-8f3a-882ea1d8af91,51.0,Male,Divorced,62858.0,Paulatown,16bf846f-7f07-4bb4-ac65-0f6f77d2095c,Auto,30,3611.8545799609365,174144,1,9,97449e46-63ad-4539-ad3a-de69a784773b,2021-02-15,63787.87915808761,Medical,346,Approved,0,0,1,0,0,0
3d9a3d48-cbb6-4511-8625-a2d5dcb5eb9f,35.0,Male,Divorced,110938.0,South Laurafurt,f8c193a7-b59d-4345-8afe-2e2e810de125,Home,1,2232.8158944084325,628461,9,16,f0ca7ef2-f54e-432c-ae12-a121c0a0cf44,2020-02-23,,Theft,190,Approved,1,0,0,0,1,0
92e5c90e-b411-4f42-bddd-de328c5eda1d,34.0,Female,Divorced,142929.0,Port Paul,7d14af07-e861-436a-832b-a323f6942a0c,Home,15,4896.142308578905,181304,4,2,ff01d9fc-c992-4fec-8e66-e0ad886d6a9a,2022-03-04,,Theft,362,Approved,1,0,1,0,1,0
203787c2-05dd-40af-950c-1e36d074d52e,33.0,Female,Divorced,116394.0,Williamburgh,232e1fb4-92a8-48d7-a000-f925030097d6,Auto,17,1373.2859841209365,183539,9,30,2ec2e003-e85b-438a-a6d5-1df754f1ecf8,2023-11-03,21784.206557589314,Theft,92,Rejected,1,1,0,0,1,1
e2bfb5d6-eae1-44a5-94c6-b15ae9391ac4,72.0,Female,Divorced,146146.0,North Tiffanyberg,3f98bc00-af09-4353-892f-4d3a30054753,Home,29,1800.389396009533,844678,2,12,b75c67b9-8488-4db0-951a-8eef3283b45e,2023-11-04,80764.61091602969,Medical,288,Pending,1,0,0,0,0,1
